"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","11935744"
"0","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","7.53"
"0","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","89920"
"0","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","87.87"
"0","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","sm__inst_executed_pipe_tensor_subpipe_imma.avg.pct_of_peak_sustained_active","%","31.66"
"0","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","44.72"
"1","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","18763520"
"1","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","52.43"
"1","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","20320"
"1","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","31.84"
"1","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","sm__inst_executed_pipe_tensor_subpipe_imma.avg.pct_of_peak_sustained_active","%","0"
"1","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","5.00"
"2","493633","llama-bench","127.0.0.1","void mul_mat_q<14, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","5969920"
"2","493633","llama-bench","127.0.0.1","void mul_mat_q<14, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","8.49"
"2","493633","llama-bench","127.0.0.1","void mul_mat_q<14, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","39904"
"2","493633","llama-bench","127.0.0.1","void mul_mat_q<14, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","79.96"
"2","493633","llama-bench","127.0.0.1","void mul_mat_q<14, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","sm__inst_executed_pipe_tensor_subpipe_imma.avg.pct_of_peak_sustained_active","%","33.44"
"2","493633","llama-bench","127.0.0.1","void mul_mat_q<14, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","30.21"
"3","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<14, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","12472064"
"3","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<14, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","35.37"
"3","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<14, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","20032"
"3","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<14, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","16.39"
"3","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<14, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","sm__inst_executed_pipe_tensor_subpipe_imma.avg.pct_of_peak_sustained_active","%","0"
"3","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<14, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","2.70"
"4","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","4849408"
"4","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","8.08"
"4","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","34048"
"4","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","81.57"
"4","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","sm__inst_executed_pipe_tensor_subpipe_imma.avg.pct_of_peak_sustained_active","%","19.86"
"4","493633","llama-bench","127.0.0.1","void mul_mat_q<12, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","5","42","(32, 8, 1)","(170, 1, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","29.84"
"5","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","byte","12472064"
"5","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","34.86"
"5","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","20320"
"5","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","16.41"
"5","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","sm__inst_executed_pipe_tensor_subpipe_imma.avg.pct_of_peak_sustained_active","%","0"
"5","493633","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<12, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","5","42","(32, 4, 1)","(170, 4, 1)","0","12.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","2.65"
