Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.7,46591318,428,108858.2,72560.5,22496,212801,71728.6,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
12.8,9514926,70,135927.5,37920.5,30784,271842,106649.2,"void mul_mat_q<(ggml_type)14, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
5.0,3723147,428,8698.9,8287.0,7744,10528,926.2,"void mul_mat_q_stream_k_fixup<(ggml_type)12, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
4.0,2936202,72,40780.6,40480.0,38816,49696,1425.8,"void flash_attn_ext_f16<(int)128, (int)128, (int)16, (int)4, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
2.4,1768562,70,25265.2,25216.0,24672,26945,349.5,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
2.2,1626276,144,11293.6,11136.0,4992,17824,5839.8,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
1.8,1335849,428,3121.1,2784.0,2592,7328,1206.7,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, const int *, void *, long, long, long, long, long, int, int)"
1.6,1192234,146,8166.0,8256.0,3072,9184,795.7,"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
1.5,1119495,142,7883.8,7984.0,928,8640,823.0,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, int, int, uint3, uint3, uint3, uint3, uint3, int, int, int, int, int, int, int, int, int, int, int, T5...)"
1.5,1114855,72,15484.1,15344.5,15008,15968,360.4,"void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)"
1.3,952418,72,13228.0,13200.0,12768,14464,245.6,"void flash_attn_stream_k_fixup_general<(int)128, (int)16, (int)4>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.9,657833,70,9397.6,10128.5,8255,10592,955.7,"void mul_mat_q_stream_k_fixup<(ggml_type)14, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.8,624003,2,312001.5,312001.5,310338,313665,2352.5,"void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.5,363648,72,5050.7,5104.0,4064,5632,367.2,"void rope_neox<(bool)1, (bool)0, float, __half>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)"
0.5,340929,70,4870.4,3024.0,2560,8064,2137.1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long, long, long, long, long, int, int)"
0.3,241314,72,3351.6,3408.0,2240,3872,317.1,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
0.1,80384,2,40192.0,40192.0,38784,41600,1991.2,"void mul_mat_vec_q<(ggml_type)12, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.1,69279,2,34639.5,34639.5,34496,34783,202.9,"void mul_mat_vec_q<(ggml_type)14, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,14880,6,2480.0,2144.0,864,4864,1811.1,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,5568,4,1392.0,1344.0,1056,1824,322.7,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"

